"ID" "SDG2_TSS" "SDG2_TSS2" "SDG2_TES" "SDG2_mid" "S2Lb_TSS" "S2Lb_TSS2" "S2Lb_TES" "S2Lb_mid"
"56" "AT1G01540" 7.65338 21.45447 -0.917930000000001 6.0645 6.72168 16.76356 3.71008 20.4368
"57" "AT1G01550" 5.23467 51.88628 1.78238 47.0958 7.14781 56.56969 4.2517 51.5764
"58" "AT1G01560" -1.07076 -2.41317 -3.91007 -4.4216 -0.35853 -0.37476 -2.75802 -6.2575
"59" "AT1G01570" 2.36067 0.92973 -1.31525 -4.9966 -1.63054 -1.08704 -3.43246 -2.4248
"60" "AT1G01580" -0.65522 -1.58479 0.7318 -11.6293 -3.22243 -1.96868 0.0640399999999994 -9.3954
"61" "AT1G01590" -0.17081 -2.48885 0.87321 -10.0948 -2.17569 -2.53558 -3.83038 -6.2687
"62" "AT1G01600" -0.466270000000001 -0.30328 1.45952 -8.3175 1.34526 -1.83417 -3.69121 -10.4991
"63" "AT1G01610" 3.31738 12.23045 -0.94464 1.6509 4.49555 15.01399 1.0994 7.8526
"64" "AT1G01620" 0.24303 38.12708 17.35671 105.6982 2.13256 48.11253 24.0258 172.499
"65" "AT1G01630" -1.78852 -0.83014 0.95229 -3.4377 0.04725 1.32449 -1.63103 4.8006
"66" "AT1G01640" -1.20391 -0.133220000000001 -0.31491 1.5642 -0.43424 -2.29761 -1.4803 -5.3373
"67" "AT1G01650" 3.47408 17.46708 -0.86821 -7.2461 0.22865 9.09039 -1.49068 -7.4883
"68" "AT1G01660" 1.26666 0.0962499999999995 -2.2652 -1.8838 -1.21651 -1.02007 -2.48133 0.1325
"69" "AT1G01670" -0.64455 -1.03243 1.37969 -7.9912 -1.71244 -1.32589 -1.28853 -10.0922
"70" "AT1G01680" -3.47101 -2.70061 -0.16499 -4.0914 -2.03031 -0.758299999999999 -2.15492 -3.402
"71" "AT1G01690" 0.29856 -3.30855 -1.15905 -7.6092 1.20774 1.92021 0.1213 -9.4949
"72" "AT1G01695" -1.10617 -0.54318 0.724769999999999 -4.6392 -1.44128 -2.76521 -2.54363 0.0137
"73" "AT1G01700" 0.94672 0.347049999999999 0.75073 -6.2281 -2.50345 -1.69432 0.47468 -3.5674
"74" "AT1G01710" -0.43544 -1.96637 -0.99555 -7.7091 -0.18034 -0.738020000000001 -0.81441 0.851500000000001
"75" "AT1G01715" -0.44418 0.40942 -0.49805 -2.7215 -1.174 -2.25305 -5.09453 -7.33604
"76" "AT1G01720" -0.57638 12.08266 4.21269 29.8187 -2.53644 13.13326 14.98886 37.436
"77" "AT1G01725" 0.27868 1.43596 3.62589 3.14344 0.23418 9.95775 14.41882 9.68341
"78" "AT1G01730" -0.146059999999999 0.86034 -1.13044 -1.7592 0.50884 -0.750069999999999 -1.39606 -5.06095
"79" "AT1G01740" -0.43133 -0.925479999999999 -0.85924 -10.01 2.03124 -1.2892 -2.42086 -8.2584
"80" "AT1G01750" -0.60041 -5.01671 -2.14489 -3.24084 -0.55013 -1.30076 1.78404 1.09553
"81" "AT1G01760" -0.11623 -0.77458 -2.86727 -1.2438 -2.79636 -0.747730000000001 1.60886 -2.3397
"82" "AT1G01770" 0.27698 2.08073 -1.18382 -24.6381 -2.9203 4.78745 2.14683 -4.8133
"83" "AT1G01780" -0.79303 0.22407 -3.47952 -7.80444 2.80418 2.27746 -1.05976 -2.71409
"84" "AT1G01790" -2.99023 -0.50195 0.63987 -20.8462 -0.43541 1.35932 -6.26821 -20.9495
"85" "AT1G01800" -2.27077 3.57716 -2.10825 -3.3389 -0.876040000000001 7.38359 -3.54767 0.4733
"86" "AT1G01820" -0.88323 2.18045 -3.91907 -2.6882 1.86878 0.70314 -0.344279999999999 -0.995700000000003
"87" "AT1G01830" -0.0400700000000001 -0.58151 -0.58899 0.8202 -0.69667 -0.7097 2.45479 1.494
"88" "AT1G01840" -0.97421 -2.64102 -0.11965 -0.524692 -2.38504 -1.23476 0.280270000000001 -0.128115
"89" "AT1G01860" 2.36189 -0.0216500000000002 -2.1056 -3.7336 -2.58284 -1.22874 -0.38145 -3.1949
"90" "AT1G01880" 0.11083 -1.07732 1.18128 -6.06 -0.473260000000001 3.69233 -3.06433 -2.6928
"91" "AT1G01900" -3.25779 -5.4611 -0.63195 -3.527 0.25194 -0.22907 -2.56373 -1.4289
"92" "AT1G01910" -0.70108 3.09807 -2.11383 -10.2992 -1.06646 5.22632 -3.06181 -4.4413
"93" "AT1G01920" -2.13565 -3.17776 -1.28374 -14.6847 -0.68998 -1.44128 -0.0892200000000001 -1.9911
"94" "AT1G01930" -0.61883 -1.92535 -0.30593 -9.4947 1.00994 0.996729999999999 -1.44313 -3.1801
"95" "AT1G01940" -0.35977 -0.11697 -1.96463 -6.8526 0.92201 -0.255850000000001 -0.491510000000001 -4.9127
