"ID" "ATX1_ChIP8TSS" "ATX2_ChIP8TSS" "ATXR7_ChIP8TES" "ATX1_ChIP7TSS" "ATX2_ChIP7TSS" "ATXR7_soiTES"
"71" "AT1G01680" 0.31274 2.16394 -0.604710000000001 -2.62495 -1.93587 0.18878
"72" "AT1G01690" 12.68514 23.12184 0.0637800000000004 6.1049 19.9943 -1.2541
"73" "AT1G01695" 0.756410000000001 -0.33102 3.53367 1.62789 1.05352 2.45175
"74" "AT1G01700" 3.20768 3.64337 -1.03449 1.38843 2.16158 -2.77948
"75" "AT1G01710" 6.17239 6.79969 16.77654 6.7605 7.6157 21.24772
"76" "AT1G01715" 6.4739 9.3303 3.8361 3.9416 7.3954 12.57557
"77" "AT1G01720" 1.56278 0.59726 17.97029 -1.16566 0.74991 35.07452
"78" "AT1G01725" 2.77388 5.21085 18.30464 0.11162 4.68126 35.76746
"79" "AT1G01730" 3.45885 6.63818 4.13853 0.363049999999999 5.59511 0.32838
"80" "AT1G01740" 4.75685 6.91895 4.75929 0.1356 3.132 0.936500000000001
"81" "AT1G01750" 2.57016 1.46126 -1.05038 3.99232 6.28732 0.66012
"82" "AT1G01760" 9.52149 11.40889 -1.01854 4.55842 9.66532 -0.0839099999999995
"83" "AT1G01770" 9.48274 12.09924 7.94268 6.31991 13.87371 3.31415
"84" "AT1G01780" 5.47099 3.01405 17.41324 1.76583 2.88145 13.63094
"85" "AT1G01790" 8.74399 9.11819 38.18489 8.78537 8.66837 12.01343
"86" "AT1G01800" 5.61185 11.57875 19.67345 -1.2983 7.8943 17.81184
"87" "AT1G01810" 4.7354 5.7324 27.44094 1.0604 2.7442 13.79916
"88" "AT1G01820" 5.64503 7.18603 28.44369 4.46455 6.59135 15.85665
"89" "AT1G01830" 4.3239 4.85424 5.50733 -1.01433 3.85064 2.76453
"90" "AT1G01840" 3.57034 7.06664 8.94544 5.18771 8.83431 4.30599
"91" "AT1G01860" 9.28919 11.10919 12.89284 2.40089 11.04999 5.24304
"92" "AT1G01880" 6.15995 6.71825 4.12259 9.03683 7.20103 4.371
"93" "AT1G01900" -0.194529999999999 0.623810000000001 15.12124 1.39466 1.16485 6.41972
"94" "AT1G01910" 8.31424 8.89824 14.35724 6.67813 9.08383 7.40054
"95" "AT1G01920" 7.38159 10.45359 19.92814 6.72842 8.44702 9.88139
"96" "AT1G01930" 5.77989 14.16609 20.45338 5.54593 14.51083 10.54064
