ID	WT1	WT2	atx345_1	atx345_2	
AT1G02670	1	0	7	7
AT1G02680	25	46	63	49
AT1G02681	0	0	0	0
AT1G04143	0	0	0	0
AT1G02690	21	32	61	67
AT1G02700	18	1	3	6
AT1G02705	0	0	0	0
AT1G02710	0	0	0	0
AT1G02720	48	53	83	109
AT1G02730	71	54	150	180
AT1G02740	30	61	79	63
AT1G02750	76	61	150	129
AT1G02760	0	0	0	0
AT1G02770	5	3	5	3
AT1G02780	1055	630	2104	2589
AT1G02790	0	0	0	0
AT1G02800	15	19	17	26
AT1G02810	7	2	3	5
AT1G02813	0	0	0	0
AT1G02816	218	82	76	94
AT1G02820	601	123	50	472
AT1G02830	0	0	0	1
AT1G02840	259	305	638	815
AT1G02850	88	64	163	173
AT1G02860	37	46	47	42
AT1G04147	0	0	0	0
AT1G02870	49	29	118	162
AT1G04153	0	0	0	0
AT1G02880	153	110	119	129
AT1G02890	103	125	297	255
AT1G02900	5	6	12	12
AT1G02910	252	247	273	337
AT1G02920	233	241	1950	1590
AT1G02930	433	348	2338	2296
AT1G02940	2	1	4	0
AT1G02950	7	11	7	10
AT1G02952	0	0	0	0
AT1G02960	17	14	44	21
AT1G02965	0	0	0	0
AT1G02970	9	6	12	16
AT1G02980	0	0	0	0
AT1G02990	7	10	26	32
AT1G03000	44	103	180	134
AT1G03010	2	1	1	7
AT1G03020	3	1	6	4
AT1G03030	109	78	132	108
AT1G03040	208	192	231	334
AT1G03050	0	0	0	0
AT1G03055	33	17	19	31
AT1G03060	30	68	204	244
AT1G03070	12	5	1	5
AT1G03080	11	11	63	71
AT1G03090	26	71	151	84
AT1G04157	0	0	0	0
AT1G03100	3	3	6	4
AT1G04163	0	0	0	0
AT1G03103	0	0	0	0
AT1G03106	0	0	0	0
AT1G03110	48	20	81	109
AT1G03120	5	4	1	1
AT1G03130	2291	2233	1838	1939
AT1G03140	56	94	181	216
AT1G03150	77	65	106	103
AT1G04167	0	0	0	0
AT1G03160	114	203	264	211
AT1G03165	0	1	0	0
AT1G04173	0	0	0	0
AT1G03170	4	4	2	5
AT1G03180	6	4	16	15
AT1G03190	52	50	80	81
AT1G04177	0	0	0	0
AT1G03200	8	2	5	2
AT1G03210	138	55	158	119
AT1G03220	157	897	557	365
AT1G03230	75	206	318	280
AT1G03240	3	0	1	2
AT1G03250	110	115	116	124
AT1G03260	67	61	71	84
AT1G03270	9	8	21	24
AT1G03280	44	26	91	92
AT1G03290	57	49	183	175
AT1G03300	0	0	0	0
AT1G03310	156	142	135	191
AT1G03320	1	1	2	1
AT1G03325	0	0	0	0
AT1G03330	295	130	205	243
AT1G03340	2	5	10	7
AT1G03350	49	44	92	110
AT1G03360	23	13	62	109
AT1G03365	15	10	32	23
AT1G03370	50	124	287	238
AT1G03380	76	70	153	160
AT1G03390	0	0	0	0
AT1G03395	0	0	0	0
AT1G03400	85	163	299	321
AT1G03410	0	2	3	1
AT1G04183	0	0	0	0
AT1G03420	1	0	0	0
AT1G03430	160	140	144	106
AT1G03440	339	183	147	226
AT1G03445	0	0	1	1
AT1G03457	7	6	14	22
AT1G03470	3	5	8	10
AT1G03475	1677	1112	1591	1710
AT1G03490	0	0	1	0
AT1G03495	35	19	27	58
AT1G04187	0	0	0	0
AT1G04193	4	2	4	3
AT1G03502	0	0	0	0
AT1G03506	1	0	0	2
AT1G04197	2	0	1	0
AT1G03510	8	3	8	13
AT1G03515	0	0	0	0
AT1G03520	53	60	52	51
AT1G03530	18	6	40	96
AT1G03540	1	0	8	8
AT1G03550	4	1	4	6
AT1G03545	0	0	0	0
AT1G03560	21	34	46	59
AT1G03570	0	0	0	0
AT1G03580	0	5	6	0
AT1G03590	57	75	144	191
AT1G03600	3885	3769	1926	3043
AT1G03610	334	382	556	405
AT1G03620	5	9	14	11
AT1G03630	228	300	409	475
AT1G03640	0	0	0	0
AT1G03650	4	1	25	28
AT1G03660	4	1	21	11
AT1G04203	0	0	0	0
AT1G03670	0	0	1	1
AT1G03680	2877	2087	1323	1237
AT1G03687	26	36	65	51
AT1G03700	0	1	0	0
AT1G03710	1	2	6	3
AT1G03720	0	0	0	0
AT1G04207	0	0	0	0
AT1G03730	66	60	53	45
AT1G03740	26	70	159	42
AT1G04213	0	0	0	0
AT1G03743	2	0	2	2
AT1G03746	2	0	0	0
AT1G03750	7	14	29	32
AT1G03760	5	10	42	44
AT1G03770	4	2	17	11
AT1G03780	12	1	8	10
AT1G03790	0	0	0	0
AT1G03800	3	2	4	3
AT1G03810	0	0	0	0
AT1G03820	13	5	12	34
AT1G03830	3	1	29	20
AT1G03840	4	2	3	4
AT1G03850	5	18	224	161
AT1G03860	96	125	381	380
AT1G03870	202	98	224	643
AT1G03880	0	0	0	0
AT1G03890	0	0	0	0
AT1G03900	193	204	436	543
AT1G03905	13	11	15	29
AT1G03910	36	22	134	155
AT1G03920	2	0	1	0
AT1G03930	84	76	93	149
AT1G04217	5	0	2	0
AT1G03935	3	1	0	1
AT1G04223	2	1	3	0
AT1G03940	35	18	25	59
AT1G04227	0	0	0	0
AT1G03950	27	17	25	26
AT1G03960	28	24	44	35
AT1G03970	26	46	53	72
AT1G04233	0	0	0	0
AT1G03980	2	0	0	1
AT1G03982	0	0	0	0
AT1G03990	5	3	7	15
AT1G04000	106	73	78	172
AT1G04010	42	45	50	44
AT1G04020	10	5	30	48
AT1G04030	0	1	6	3
AT1G04040	33	30	30	49
AT1G04237	0	0	0	1
AT1G04050	10	3	11	18
AT1G04070	61	33	46	55
AT1G04080	124	177	446	582
AT1G04090	1	2	0	2
AT1G04100	26	21	20	19
AT1G04105	0	0	0	0
AT1G04110	19	17	21	28
AT1G04120	220	142	234	455
AT1G04243	0	0	0	0
AT1G04130	30	16	33	66
AT1G04140	290	470	699	617
AT1G04150	1	1	2	0
AT1G04160	13	6	14	30
AT1G04170	300	301	581	846
AT1G04180	0	1	0	0
AT1G04190	56	31	79	89
AT1G04200	104	100	215	227
AT1G04210	96	77	177	232
AT1G04220	37	2	2	11
AT1G04247	1	0	0	1
AT1G04230	10	24	46	39
AT1G04240	84	40	25	49
AT1G04253	0	0	0	0
AT1G04250	355	255	79	222
AT1G04260	120	109	98	114
AT1G04270	2251	1254	2326	2703
AT1G04280	20	47	108	102
AT1G04290	2	4	8	6
AT1G04295	0	0	0	0
AT1G04300	48	41	171	152
AT1G04310	31	46	74	120
AT1G04320	0	0	0	0
AT1G04330	17	3	5	1
AT1G04340	168	87	130	122
AT1G04350	333	292	192	357
AT1G04360	1	19	6	4
AT1G04370	1	0	0	0
AT1G04380	3	1	0	0
AT1G04257	0	0	0	0
AT1G04390	29	40	67	62
AT1G04400	132	543	917	512
AT1G04410	3116	3981	5052	5219
AT1G04420	345	407	407	470
AT1G04425	27	14	28	41
AT1G04430	468	613	539	696
AT1G04440	111	236	376	324
