ID	InpSDG	InpWT	Inp_atx345	SDG2_K4me3	WT_K4me2	WT_K4me3	atx345_K4me2	atx345_K4me3	
AT1G30925	16.9725	20.4521	17.7147	15.3817	20.4254	2.37652	26.7135	4.70276
AT1G31175	16.5994	19.3837	18.9364	85.8399	39.0423	47.5303	39.2711	28.7391
AT1G31490	15.6669	20.6047	20.0053	11.9084	27.1275	2.85182	28.9967	1.82885
AT1G31810	40.0997	51.2828	51.1587	42.1757	102.127	45.1538	106.397	42.3248
AT1G32340	26.298	27.9308	31.6115	84.8475	59.9996	64.1659	61.4182	72.6315
AT1G32610	15.4804	19.8416	18.1728	34.2367	29.5742	28.0429	26.7135	15.9371
AT1G33250	24.4329	23.9625	29.4735	131.985	54.2549	125.48	60.7332	122.01
AT1G33610	14.5478	20.91	17.5619	52.5955	43.2975	98.8631	30.1383	127.758
AT1G33920	6.52787	9.76816	9.92632	0.992369	5.10634	0.950606	7.53457	1.56759
AT1G34190	24.8059	37.0885	28.0991	50.1146	61.2761	94.3477	54.1119	103.722
AT1G35115	17.905	27.6256	24.5867	12.9008	39.9997	9.26841	37.4445	11.4956
AT1G36105	14.9208	14.347	16.9511	11.4122	4.89358	2.85182	4.10977	3.13517
AT1G07013	2.98417	7.02086	7.3302	0.992369	1.70211	0.475303	2.96817	0.783793
AT1G36510	11.1906	12.3628	13.286	2.97711	2.34041	0.475303	4.33809	2.87391
AT1G36980	16.2264	17.0943	15.2713	24.8092	17.7658	56.0858	17.124	51.2078
AT1G39590	0	0	0	0	0	0	0	0
AT1G40101	57.2587	72.8033	75.2873	28.2825	27.1275	3.32712	32.8781	12.802
AT1G41600	0.373021	0.152627	0.305425	0	0.106382	0	0	0
AT1G42390	17.7185	21.9784	25.0449	13.397	4.46805	0.712955	10.5027	1.82885
AT1G43444	32.6393	49.2987	49.3262	16.8703	16.1701	2.85182	17.809	8.62173
AT1G43740	18.651	23.6573	26.2666	4.96184	7.34037	0.950606	13.0143	4.96402
AT1G45080	0.18651	0.763137	0.152713	0.496184	0.106382	0	0	0
AT1G44770	16.7859	20.2995	17.8674	59.0459	24.4679	74.385	27.3984	82.5596
AT1G45230	14.1748	17.7048	17.1038	92.7865	20.319	83.1781	17.809	99.5417
AT1G47210	14.7343	14.6522	14.2023	43.168	40.7444	39.6878	42.6959	35.2707
AT1G47500	15.8534	22.5889	24.5867	66.9849	46.489	77.7121	51.1438	91.4425
AT1G48570	32.4528	41.5147	41.3851	71.9467	82.127	61.5518	75.8024	79.6856
AT1G49245	5.03578	6.41035	7.94105	15.8779	4.99996	31.37	5.02305	21.4237
AT1G49910	15.8534	20.1468	22.296	18.3588	38.8295	13.0708	35.3897	9.92805
AT1G50610	13.4288	20.2995	25.0449	11.9084	18.936	2.85182	24.6586	5.74782
AT1G51260	14.3613	16.3311	15.424	4.46566	22.2339	1.42591	29.91	3.13517
AT1G51610	25.7384	28.9992	31.4588	37.2138	46.5954	68.4437	51.1438	64.7936
AT1G52420	25.5519	30.3729	32.9859	51.6032	52.1273	46.1044	51.1438	42.5861
AT1G52780	23.1273	37.2411	33.5968	69.4658	68.4037	91.2582	86.0768	127.758
AT1G53110	17.532	22.7415	19.8526	52.5955	35.1061	68.6813	35.8463	69.4963
AT1G54430	20.1431	25.6414	24.1286	6.94658	7.44675	2.85182	7.30625	4.96402
AT1G53710	24.4329	27.1677	25.9611	54.0841	43.0848	50.1445	44.5225	49.6402
AT1G54080	23.1273	27.1677	29.1681	26.2978	48.4039	49.1939	36.3029	45.9825
AT1G54820	15.1073	25.3362	23.365	14.3893	19.9999	49.6692	20.5488	29.7841
AT1G55152	6.52787	6.25773	6.1085	35.7253	6.70208	43.9656	6.39297	38.4059
AT1G55160	22.0082	23.0467	21.8379	89.8094	29.0423	100.527	31.2799	71.8477
AT1G55750	30.5877	47.1619	40.7743	41.1833	62.34	38.2619	60.9615	38.6671
AT1G56380	6.52787	8.24188	8.85733	7.44277	7.55314	0.712955	11.8727	2.61264
AT1G56650	7.64693	9.92079	10.3845	7.44277	5.74464	6.8919	11.1877	12.0182
AT1G57680	20.7027	21.9784	24.5867	22.8245	37.9784	75.0979	40.4127	56.6944
AT1G58060	68.8224	83.182	96.2089	81.3742	150.105	63.9283	156.628	61.3971
AT1G58602	88.9655	131.565	122.628	56.565	129.574	87.9311	151.376	101.893
AT1G60075	9.51203	12.6681	9.92632	9.92369	16.2765	2.13886	16.2107	3.39644
AT1G60890	33.0123	40.141	36.4983	31.2596	67.1272	36.836	66.2129	35.532
AT1G61150	19.7701	26.4046	24.1286	31.7558	35.3189	40.1631	36.3029	47.0276
AT1G61460	20.8892	24.2678	23.365	16.3741	38.9359	11.1696	41.0977	19.3336
AT1G62050	18.0915	31.5939	24.8921	183.588	88.2972	156.375	90.1866	123.056
AT1G08667	3.91672	4.73145	5.19223	44.1604	14.9999	65.8295	15.0691	86.2173
AT1G62660	26.4845	34.0359	37.8727	39.1986	63.2974	28.2805	55.2535	24.8201
AT1G63640	37.8616	49.7566	51.6168	36.2215	81.9143	24.4781	81.967	29.5229
AT1G64280	25.7384	27.6256	35.8875	106.68	55.6379	115.974	58.2217	140.822
AT1G64580	16.5994	22.5889	20.7689	50.6108	38.8295	34.6971	33.5631	19.3336
AT1G65280	21.0757	35.2569	28.4045	67.4811	52.0209	53.4716	52.0571	61.3971
AT1G65580	43.0839	60.5931	61.2377	132.481	114.893	92.4465	117.585	120.182
AT1G65880	19.2106	22.4362	23.6704	8.93132	25.4253	3.56477	30.1383	4.4415
AT1G66760	10.8176	19.9942	20.6162	14.8855	24.5743	17.1109	22.6037	8.88299
AT1G67500	59.1238	79.9768	80.9377	71.4505	134.999	24.4781	135.166	20.3786
AT1G69380	10.6311	16.3311	16.7984	35.7253	25.4253	36.836	26.4852	26.1264
AT1G70560	15.8534	29.1518	26.4193	34.7329	41.9146	14.4967	20.0922	9.92805
AT1G71270	29.6552	47.925	46.2719	43.6642	72.8718	55.3728	72.1492	57.2169
AT1G71800	20.3296	29.4571	27.7937	49.1222	45.3188	45.6291	51.6004	49.379
AT1G73200	22.7543	36.7832	36.4983	51.107	62.6591	56.3234	55.2535	57.7394
AT1G73885	7.46042	9.31028	7.48292	64.0078	12.5531	93.6347	15.2975	94.0552
AT1G74240	16.9725	29.3045	26.8774	43.6642	36.5955	19.4874	32.6498	12.5407
AT1G75050	8.01995	18.4679	14.355	52.0994	79.9994	28.0429	36.5313	5.74782
AT1G76140	31.3338	47.925	43.5231	84.3513	73.4037	76.7615	75.1174	78.1181
AT1G76810	35.9965	53.7249	45.5083	48.1299	103.403	79.6133	114.617	85.1722
AT1G77100	7.83344	10.9892	10.5372	0.992369	6.17017	2.37652	7.99121	2.09012
AT1G77440	13.8018	19.2311	23.365	39.6947	29.5742	44.6785	29.225	47.8114
AT1G78390	17.905	20.1468	23.9759	66.9849	91.0632	33.2712	34.4764	6.53161
AT1G78780	6.71438	10.9892	8.5519	4.96184	9.68078	1.66356	10.9594	5.48655
AT1G79440	24.9924	38.7674	38.789	53.0917	69.042	52.7587	71.6926	50.9466
AT1G80525	3.35719	3.51043	2.4434	6.4504	2.44679	1.18826	3.19649	1.04506
AT1G03997	1.30557	2.44204	3.51239	3.96947	6.38293	23.2899	4.56641	26.9102
AT1G01050	7.46042	14.0417	14.6604	9.4275	17.9786	31.8453	16.6674	39.1897
AT1G01090	14.7343	27.0151	23.9759	58.0536	52.1273	93.3971	59.135	87.0011
AT1G01140	18.651	34.3412	29.1681	35.2291	43.7231	105.993	41.0977	82.5596
AT1G01230	12.8692	16.9417	16.493	29.7711	17.3403	58.7	16.8957	61.9197
AT1G01290	11.5636	18.7732	17.8674	35.2291	33.7232	29.9441	25.1152	33.7031
AT1G01448	18.8376	28.8466	32.6805	34.7329	49.5741	31.1324	48.1756	12.0182
AT1G01380	6.52787	7.63137	5.95579	2.48092	6.38293	4.51538	3.19649	2.35138
AT1G01490	13.2422	16.9417	17.8674	9.92369	11.4893	85.0793	10.2744	83.6046
AT1G01540	17.532	31.4413	30.2371	86.8323	34.9997	137.838	42.4676	141.867
AT1G01580	24.2464	33.8833	33.1386	16.3741	28.5104	7.60485	22.6037	7.83793
AT1G01630	10.8176	18.4679	17.5619	34.2367	34.3614	36.123	29.91	27.9553
AT1G01670	14.9208	25.6414	26.4193	22.3283	52.6592	17.8239	43.6092	18.2885
AT1G01800	14.3613	20.2995	17.1038	55.5726	23.936	71.5331	22.832	77.3343
AT1G01900	23.3138	38.1569	37.72	76.4124	108.297	27.3299	53.8836	10.9731
AT1G01950	33.9449	44.1093	46.5773	49.6184	78.9356	59.6506	80.5971	59.0458
AT1G01990	11.3771	17.5522	15.7294	74.9238	46.1699	90.3076	53.6553	95.884
AT1G02050	17.3455	27.6256	25.8084	7.44277	43.1912	3.32712	43.8375	5.48655
AT1G02080	74.7907	118.439	107.51	105.687	201.488	102.903	211.881	109.992
AT1G02150	23.6868	34.7991	34.2076	116.603	67.3399	119.301	69.4094	113.65
AT1G02260	17.7185	24.8783	23.5177	29.2749	48.2975	29.4688	47.2623	29.7841
AT1G02310	15.6669	21.0626	20.1581	9.4275	9.04249	3.08947	10.0461	4.96402
AT1G02370	16.7859	22.5889	20.3108	76.9086	56.9145	54.8975	46.8057	50.9466
AT1G02410	9.51203	17.0943	13.1333	32.7482	20.319	53.4716	18.9506	40.2347
AT1G02660	23.1273	37.0885	30.3898	65.4963	52.9783	120.252	60.9615	89.3524
AT1G02705	5.03578	7.784	9.46818	12.9008	20.319	4.75303	13.4709	3.13517
AT1G02710	4.10323	5.95247	7.94105	12.4046	18.936	3.56477	11.6443	2.35138
AT1G02770	8.39297	13.8891	13.4387	9.92369	20.2126	3.80243	24.4303	3.6577
AT1G02816	8.20646	16.0259	14.9658	63.5116	16.8084	94.5853	19.4072	86.4785
AT1G02965	7.64693	9.61553	9.7736	13.8932	31.9147	10.4567	12.101	2.35138
AT1G03000	29.8417	42.8883	40.0107	63.5116	77.5526	77.7121	77.8573	79.6856
AT1G03040	19.3971	24.8783	22.9069	69.4658	37.4465	95.0606	33.5631	93.5327
AT1G03060	104.632	140.875	133.776	94.275	288.083	77.2368	292.478	109.209
AT1G03080	38.4212	59.3721	54.0602	36.7176	92.3397	46.1044	92.0131	47.2889
AT1G03130	8.39297	9.61553	10.079	12.9008	7.55314	96.4866	10.5027	111.56
AT1G03170	10.2581	14.347	13.286	11.9084	14.8935	4.04008	6.39297	3.39644
AT1G03330	9.32552	12.0576	11.9116	18.3588	16.2765	34.6971	17.809	36.0545
AT1G03540	17.7185	26.2519	27.4883	75.42	72.3399	42.0643	82.4237	44.6762
AT1G03610	13.8018	22.5889	19.5472	34.2367	24.3615	90.07	29.6817	88.5686
AT1G03740	22.5678	35.8675	32.9859	37.2138	57.0209	60.1259	61.1899	66.3612
AT1G03780	25.7384	33.578	35.7347	17.3665	73.9356	12.8332	69.1811	10.7118
AT1G03830	28.5361	34.9517	35.8875	48.1299	80.6377	34.4595	76.259	31.8743
AT1G03870	10.8176	17.7048	13.286	36.7176	30.6381	88.1688	33.3348	83.0821
AT1G03910	26.4845	46.2461	43.9812	76.4124	56.8081	55.1352	68.7244	50.9466
AT1G03960	21.8217	33.8833	32.6805	43.168	64.4676	72.4837	66.8979	60.6133
AT1G04010	29.6552	41.5147	44.2866	76.9086	83.8292	59.4129	81.5104	60.3521
AT1G04120	45.5085	66.0877	58.1835	45.1528	105.212	71.2955	116.443	80.2082
AT1G04150	27.6035	43.3462	42.9122	42.1757	99.2546	14.4967	91.0998	11.4956
AT1G04170	16.7859	27.3203	27.9464	32.7482	47.0209	44.9162	44.7508	36.3158
AT1G04200	26.4845	41.362	39.2471	80.3819	73.0846	72.0084	77.8573	65.3161
AT1G04280	18.651	25.0309	26.4193	18.3588	23.6168	19.4874	21.0055	30.8292
AT1G04340	9.51203	14.6522	12.217	25.3054	19.8935	39.6878	17.5807	41.2798
AT1G04425	8.76599	11.2944	14.0496	4.46566	3.51061	2.13886	5.70801	3.13517
AT1G08835	5.96833	6.86824	8.09377	3.47329	2.23403	0.950606	4.56641	1.82885
AT1G04470	31.7068	48.6882	48.1045	30.2672	69.2548	6.41659	68.2678	9.40552
AT1G04510	25.5519	34.0359	39.2471	44.1604	64.8931	65.8295	65.7563	61.6584
AT1G04560	8.9525	14.4996	13.286	5.45803	13.5105	1.42591	12.5576	3.13517
AT1G04730	31.7068	52.8091	50.7006	55.5726	95.4248	26.617	93.6114	16.9822
AT1G04780	18.278	26.8624	28.8627	42.1757	54.9996	81.5145	57.7651	92.2263
AT1G04830	19.9566	34.3412	30.0844	98.7407	52.6592	91.2582	58.9067	85.4335
AT1G04880	15.8534	29.7624	27.3355	13.397	36.0636	8.31781	38.3578	9.14425
AT1G04920	36.7426	46.2461	48.1045	35.7253	77.0207	12.1202	78.9989	14.6308
AT1G04960	17.7185	23.9625	22.9069	31.2596	28.6168	41.3514	29.4533	39.9735
AT1G04357	3.35719	4.27357	5.03951	24.313	7.23399	27.3299	9.13282	33.7031
AT1G04363	2.98417	3.81569	4.27595	24.313	6.91484	25.1911	8.44786	31.613
AT1G05070	12.8692	18.7732	17.2565	41.1833	25.4253	71.2955	30.1383	68.7125
AT1G05120	25.925	40.9042	36.8037	53.0917	60.4251	23.7652	60.7332	29.7841
AT1G05160	22.5678	28.5413	27.3355	41.6795	40.4252	19.4874	38.5861	21.6849
AT1G05200	25.3654	37.3937	38.4836	26.2978	70.2122	69.6319	76.259	55.1268
AT1G05290	6.71438	9.00502	9.92632	1.98474	7.34037	1.18826	7.30625	1.30632
AT1G05320	19.0241	29.1518	23.9759	11.4122	30.6381	17.1109	39.2711	12.2794
AT1G05490	35.2505	47.1619	45.8138	49.1222	100.957	19.2498	95.8946	17.2435
AT1G05570	72.5526	90.5081	91.3221	75.9162	173.935	43.0149	165.304	64.7936
AT1G05590	17.905	25.4888	27.1828	25.3054	52.5528	40.1631	52.0571	39.9735
AT1G05640	19.0241	27.9308	24.2813	29.7711	44.8933	22.3393	37.9012	16.4597
AT1G05730	13.0557	18.4679	19.3945	32.252	37.8721	31.6077	37.9012	39.9735
AT1G05790	23.6868	34.6464	40.1634	69.4658	63.8293	62.2647	72.1492	61.3971
AT1G05820	22.0082	28.694	33.2913	18.855	34.5742	10.932	39.0428	9.66678
AT1G05860	16.0399	29.6097	22.4487	68.9696	39.4678	109.082	51.6004	97.7129
AT1G05894	9.51203	17.2469	12.6751	9.92369	18.2977	1.66356	21.2338	2.61264
AT1G05940	22.1947	34.1886	32.9859	118.588	62.8719	105.517	52.5137	126.191
AT1G05990	5.22229	7.784	8.5519	3.96947	6.06378	0.712955	6.84961	1.82885
AT1G06265	18.278	24.4204	26.572	31.2596	40.9571	5.46599	35.618	6.00908
AT1G06143	13.4288	18.1627	18.9364	72.9391	38.7231	43.2526	42.9242	41.0185
AT1G06220	33.7584	39.2253	43.6758	56.565	72.0207	60.3635	84.2502	57.2169
AT1G06260	10.0716	12.0576	15.2713	27.2901	30.1062	4.75303	28.3117	2.87391
AT1G06340	5.03578	8.08926	9.62089	6.94658	11.5957	3.80243	6.16465	0.522529
AT1G06390	23.5003	36.1727	39.2471	42.6719	53.9358	57.5117	56.3951	65.5774
AT1G06490	61.3619	82.7241	85.8245	90.8017	139.786	34.2218	144.298	27.1715
AT1G06580	16.5994	23.6573	23.365	47.1375	30.4253	47.055	26.0285	44.6762
AT1G06680	17.3455	26.8624	22.1433	38.2062	23.4041	196.3	29.225	170.344
AT1G06720	41.5918	55.4038	54.8238	74.9238	115.531	50.6198	125.576	67.145
AT1G06770	13.0557	24.8783	26.8774	55.5726	50.5315	45.1538	50.0022	40.496
AT1G06890	19.2106	29.1518	27.0301	54.5803	45.2124	69.8696	50.0022	75.5054
AT1G07040	16.0399	23.9625	20.7689	52.0994	38.404	57.987	39.0428	73.9378
AT1G07110	35.064	56.3195	48.868	68.4734	75.9569	101.715	91.5565	93.2714
AT1G07150	19.9566	23.9625	19.5472	98.7407	97.6588	102.666	76.7157	95.6228
AT1G07290	18.8376	25.0309	24.434	80.3819	54.2549	56.7987	55.7102	41.2798
AT1G07360	16.5994	28.9992	30.0844	41.1833	44.9997	56.3234	43.6092	55.6493
AT1G07410	9.32552	13.4312	15.8821	36.7176	26.5955	12.3579	22.1471	6.53161
AT1G07470	16.4129	22.7415	18.7836	16.8703	31.17	16.6356	32.6498	14.6308
AT1G07510	53.1555	78.2979	68.2625	102.214	142.871	121.678	155.258	150.227
AT1G07520	16.5994	25.9467	23.6704	45.649	63.9357	66.3048	59.3633	71.0639
AT1G07550	22.7543	31.136	28.8627	19.3512	37.7657	4.51538	49.5455	6.53161
AT1G07615	19.9566	26.8624	24.8921	65.4963	59.574	36.836	48.6322	36.0545
AT1G07720	14.7343	23.8099	23.8232	34.7329	40.9571	66.3048	44.2942	68.9738
AT1G07770	9.32552	12.0576	13.7441	10.4199	15.5318	15.685	13.9275	19.0723
AT1G07840	13.2422	22.4362	20.4635	35.2291	28.2977	33.9842	27.3984	36.8383
AT1G07980	9.69854	18.7732	17.5619	73.4353	27.553	59.8882	31.2799	70.5414
AT1G04643	9.13901	13.2786	15.7294	10.4199	12.5531	1.66356	8.67618	2.61264
AT1G08060	63.227	90.0502	83.2283	95.2674	152.339	62.5024	169.185	65.0548
AT1G08120	9.88505	14.347	16.1875	11.4122	12.9786	1.90121	9.13282	2.87391
AT1G08190	40.2863	55.709	53.6021	122.558	97.0206	78.9003	101.831	75.5054
AT1G08260	102.954	148.964	147.826	229.733	256.807	210.322	270.103	222.336
AT1G08592	28.3496	38.92	34.3603	138.435	91.1695	93.3971	102.973	90.3975
AT1G08360	13.9883	17.2469	19.0891	23.3207	24.4679	55.6105	26.0285	43.8924
AT1G08420	54.088	83.9451	74.6764	103.703	160.531	110.033	172.154	125.929
AT1G08450	22.7543	30.6781	32.2223	32.252	37.6593	44.6785	46.8057	70.8027
AT1G08490	20.8892	30.5255	30.5425	84.8475	41.7018	77.7121	50.6871	59.5683
AT1G08540	24.4329	33.1202	32.5278	33.2444	56.0634	68.206	54.1119	61.6584
AT1G08590	28.9091	41.0568	35.4293	139.924	91.9142	93.6347	103.429	91.7038
AT1G08680	35.2505	47.6198	48.1045	39.6947	79.042	51.5704	77.6289	48.5952
AT1G08730	48.3062	59.6773	64.1393	43.6642	102.021	14.4967	113.019	14.1083
AT1G08750	21.4487	27.0151	27.7937	50.6108	43.6167	48.7186	57.0801	54.0817
AT1G08800	25.1789	33.7307	43.5231	32.252	68.6165	31.37	73.9758	25.0814
AT1G08840	52.0364	75.7032	79.5632	70.9544	142.871	43.9656	134.252	31.613
AT1G08890	14.5478	21.0626	18.4782	7.93895	12.4467	20.438	9.81778	9.40552
AT1G09020	25.1789	46.0935	41.5378	71.9467	65.7442	74.1473	68.2678	80.2082
AT1G09150	16.0399	22.4362	22.296	32.7482	32.7657	47.768	35.8463	46.7663
AT1G09180	6.71438	8.39451	11.148	10.9161	26.17	25.4287	24.202	20.9012
AT1G09230	18.4645	27.1677	27.1828	54.0841	44.6805	58.7	47.2623	36.3158
AT1G09280	22.0082	35.4096	33.7495	71.9467	44.255	54.8975	51.6004	41.541
AT1G09440	15.8534	24.2678	22.4487	27.2901	32.7657	28.0429	32.1932	13.847
AT1G09570	40.4728	63.7983	55.4347	41.1833	116.914	66.3048	107.311	65.5774
AT1G09620	30.7742	46.8566	44.7448	66.9849	101.808	73.9097	109.822	77.073
AT1G09660	19.7701	31.5939	26.7247	48.1299	41.4891	63.6906	44.7508	70.8027
AT1G09770	26.8575	39.5305	36.4983	59.0459	73.1909	86.2675	81.2821	85.956
AT1G09800	27.2305	29.6097	36.1929	68.4734	61.2761	29.7065	55.7102	23.7751
AT1G09830	18.0915	27.6256	28.5572	60.0383	61.0634	61.7894	60.2766	61.3971
AT1G09880	14.3613	23.0467	26.2666	9.4275	22.1275	3.56477	25.1152	4.96402
AT1G09930	19.7701	29.7624	26.4193	34.7329	66.5952	9.74372	50.9155	6.00908
AT1G09960	24.0598	30.9834	31.9169	78.8933	95.8504	30.6571	86.9901	21.4237
AT1G09980	31.7068	46.0935	45.0502	39.1986	68.5101	58.4623	71.236	61.9197
AT1G10090	36.9291	51.7407	52.2277	33.7405	80.1058	62.0271	79.6838	53.5592
AT1G10150	10.8176	18.01	17.5619	38.7024	25.5317	115.974	29.91	114.956
AT1G10155	15.2939	22.7415	21.5325	42.1757	27.8721	117.638	31.9649	117.046
AT1G10240	23.8733	33.578	32.6805	48.6261	60.1059	30.6571	62.5598	38.6671
AT1G10290	44.949	57.2353	55.7401	114.619	113.723	100.764	109.822	117.83
AT1G10340	16.7859	22.7415	28.0991	22.8245	45.4252	22.1016	60.7332	81.2532
AT1G10417	22.1947	23.352	25.1976	42.6719	45.2124	18.2992	45.6641	19.3336
AT1G10490	35.6235	55.709	53.2967	40.1909	83.9355	36.5983	97.2645	31.8743
AT1G10570	18.4645	29.915	31.0006	60.0383	51.5954	54.6599	58.2217	53.5592
AT1G10700	16.9725	24.573	23.0596	86.3361	44.5741	80.5639	43.1526	84.6497
AT1G10760	57.2587	79.6715	83.9919	47.1375	139.361	61.0765	142.929	58.0007
AT1G10820	21.4487	33.4254	36.9564	49.6184	56.8081	67.2554	58.6783	62.1809
AT1G10870	37.6751	45.3304	51.7696	32.7482	85.5313	51.3328	85.8485	44.6762
AT1G10900	30.4012	40.4463	38.6363	26.794	61.1698	39.9255	73.0625	31.3517
