ID	ATX1-tag_hub	ATX2_tag_hub	ATX1_tag	ATX2_tag
AT1G53090	5.19053	4.3569	6.67392	5.0014
AT1G53100	3.60641	4.04067	5.85201	4.08448
AT1G53110	6.23538	5.09476	7.52871	5.41819
AT1G53120	11.7967	8.08135	13.9396	15.1709
AT1G53130	3.84234	2.70549	3.78079	3.58434
AT1G53140	4.75237	8.22189	7.00269	12.8369
AT1G53160	5.99945	3.68931	4.37257	4.58462
AT1G53163	2.46045	4.11095	4.04381	1.41706
AT1G53165	8.89805	7.0624	9.10678	5.75162
AT1G53170	3.97716	4.49745	4.60271	2.58406
AT1G53180	6.03315	3.72445	5.12873	4.00112
AT1G53190	6.50502	10.2247	12.4602	9.66938
AT1G53200	6.90947	7.27321	8.12049	10.1695
AT1G53210	4.34791	6.85158	6.11502	4.00112
AT1G53230	4.81978	5.55153	9.73144	7.16868
AT1G53233	6.97688	5.9029	7.72597	5.75162
AT1G53240	9.70697	7.9408	11.0465	8.75246
AT1G53250	16.3468	11.3139	16.767	12.5035
AT1G53260	5.22424	6.04344	7.66022	8.41903
AT1G53270	4.21309	3.61904	3.41915	2.91749
AT1G53280	4.75237	7.90567	9.53418	11.5032
AT1G53285	1.88747	1.75681	1.90684	1.33371
AT1G53290	5.25794	5.05963	3.84655	5.25147
AT1G53300	5.39276	5.16504	7.75885	6.7519
AT1G53310	5.12312	6.64076	9.89582	7.08532
AT1G53320	3.64011	6.42994	6.96981	9.8361
AT1G53325	5.32535	4.00554	4.93147	4.41791
AT1G53330	6.26908	4.77854	7.46296	7.66882
AT1G53340	2.25822	5.55153	5.09585	7.25204
AT1G53345	5.62869	6.25426	12.7561	14.254
AT1G53350	9.84179	10.1193	13.6437	14.0873
AT1G53360	4.75237	6.50021	4.83284	4.33455
AT1G53370	4.41532	2.98658	4.86572	5.5849
AT1G53380	10.1114	7.80026	9.79719	6.91861
AT1G53390	6.10056	6.57049	7.52871	6.66854
AT1G53400	7.85321	5.34072	7.29858	5.41819
AT1G53420	1.85376	3.44336	5.78626	3.0842
AT1G53430	1.78635	3.37308	4.83284	3.75105
AT1G53440	3.16825	4.18122	6.1479	5.66826
AT1G53450	5.93204	8.50298	7.85748	8.58574
AT1G53460	8.56101	5.79749	8.3835	4.41791
AT1G53470	5.6624	5.09476	5.35886	4.33455
AT1G53480	10.3811	11.4896	14.0711	13.087
AT1G53490	6.47131	2.35413	8.71226	3.16756
AT1G53500	8.86435	8.25703	13.3478	10.0028
AT1G53510	6.26908	6.99212	9.99445	7.91889
AT1G53520	11.0215	10.6463	19.6601	21.0893
AT1G53530	10.6844	9.62734	17.293	17.1715
AT1G53540	6.13426	5.62181	9.36979	11.0864
AT1G53550	5.86463	3.86499	5.95064	5.0014
AT1G53560	8.45989	5.09476	7.39721	6.25176
AT1G53570	4.31421	8.81921	11.4739	12.5869
AT1G53580	5.62869	6.81644	9.46842	7.25204
AT1G53590	5.25794	5.79749	8.12049	7.66882
AT1G53600	7.92062	5.48126	9.04103	8.41903
AT1G53620	4.55014	3.44336	3.3534	1.75049
AT1G53625	2.73008	3.09199	4.20819	1.66713
AT1G53630	2.1234	2.84604	2.92601	1.16699
AT1G53633	2.42674	4.07581	4.27394	3.75105
AT1G53635	3.40418	3.93526	3.22189	2.41735
AT1G53640	2.79749	3.65417	3.25477	4.91805
AT1G53645	7.04429	7.13267	13.1177	13.3371
AT1G53650	4.85348	6.85158	9.27116	6.33511
AT1G53655	5.42646	3.37308	3.28765	3.41763
AT1G53660	3.539	5.05963	4.33969	3.33427
AT1G53670	7.14541	8.39757	11.7698	9.91945
AT1G53680	4.2468	5.41099	5.81914	4.66798
AT1G53690	4.55014	4.3569	8.71226	7.66882
AT1G53700	3.13454	3.51363	5.0301	3.58434
AT1G53705	3.64011	3.44336	3.68216	2.08392
AT1G53708	3.90975	3.54877	3.25477	2.33399
AT1G53710	8.76323	9.24085	13.9067	13.0037
AT1G53720	6.30279	9.97871	11.8027	13.5038
AT1G53730	4.41532	6.81644	6.31228	5.75162
AT1G53750	6.87577	7.76512	7.75885	5.91833
AT1G53760	5.15683	7.1678	9.46842	7.83553
AT1G53770	6.60613	7.1678	12.1643	13.5871
AT1G53780	9.67326	11.349	11.3424	12.5035
AT1G53790	11.3922	6.99212	11.2766	15.2543
AT1G53800	9.9092	9.73275	19.7259	26.3407
