ID	ATX1_hub	ATX2_hub	ATX2	ATX1	
AT1G02145	12.4595	17.9854	20.0616	12.0498
AT1G02150	9.25561	13.3189	14.9086	12.0006
AT1G02160	12.3883	9.18712	11.4066	9.14801
AT1G02170	8.40125	11.9578	17.31	9.68902
AT1G02180	9.6116	16.1868	15.0086	10.6235
AT1G02190	7.40449	10.2565	7.75447	6.04949
AT1G02205	4.34302	6.65945	6.05349	3.09852
AT1G02220	5.12619	5.93031	7.30421	3.19688
AT1G02228	2.91908	3.15959	2.80161	2.40996
AT1G02230	6.97731	6.9025	7.40426	3.34443
AT1G02250	4.48541	3.54847	3.45199	5.01665
AT1G02260	9.04202	11.9092	9.90571	8.3119
AT1G02270	9.32681	8.79825	8.00461	9.68902
AT1G02280	9.89639	10.451	15.3088	12.9351
AT1G02290	16.2329	16.7215	15.1087	11.5088
AT1G02300	12.1035	19.0062	14.9086	13.9679
AT1G02305	9.6828	10.7426	16.0593	9.39392
AT1G02310	5.90935	4.2776	3.95228	3.39362
AT1G02330	8.89963	12.5898	12.3071	5.70521
AT1G02335	5.26858	3.2082	2.30133	4.574
AT1G02340	3.77344	5.29839	5.5532	5.60684
AT1G02350	7.76048	11.0829	7.75447	6.09867
AT1G02360	6.05175	5.05535	5.75331	4.62319
AT1G02370	9.32681	7.09693	8.60496	6.14785
AT1G02380	12.3883	10.7426	14.0081	8.60699
AT1G02390	4.55661	5.73588	5.45314	2.95097
AT1G02400	5.41097	3.88873	4.25245	4.27891
AT1G02405	5.26858	4.8123	6.45372	5.90194
AT1G02410	5.90935	6.12475	6.45372	8.50863
AT1G02420	9.96758	9.81904	14.0581	10.8202
AT1G02430	3.91584	4.42343	4.8528	4.77073
AT1G02440	3.77344	4.76369	5.30305	4.77073
AT1G02450	5.90935	7.77746	7.45429	6.09867
AT1G02460	4.34302	3.35403	3.6521	3.4428
AT1G02470	6.62132	6.70806	6.90398	6.73805
AT1G02475	6.97731	12.4439	9.75562	6.8856
AT1G02500	7.83167	10.7912	9.75562	8.26271
AT1G02510	7.47569	9.62461	8.30478	7.32824
AT1G02520	5.12619	7.58302	6.45372	3.49198
AT1G02530	7.33329	4.71508	6.10352	5.60684
AT1G02540	4.8414	4.52065	3.05176	3.00015
AT1G02550	3.63105	4.8123	3.55205	3.59035
AT1G02560	10.8219	14.1453	11.9069	10.9678
AT1G02570	5.55337	5.15257	5.50317	4.62319
AT1G02575	3.77344	5.68727	3.00173	3.09852
AT1G02580	2.13591	4.86091	2.90167	4.37727
AT1G02590	9.18442	10.1107	10.356	7.91844
AT1G02610	4.62781	7.24276	6.45372	4.03299
AT1G02620	6.40773	9.96487	8.35481	5.45929
AT1G02630	3.77344	3.15959	2.9517	3.68871
AT1G02640	6.05175	5.54144	5.75331	5.55766
AT1G02650	6.69252	9.52739	11.5567	7.52497
AT1G02660	4.8414	9.43017	9.25533	7.08233
AT1G02670	5.90935	7.63163	7.50432	5.11501
AT1G02680	9.82519	10.2079	11.3065	10.8694
AT1G02681	6.76372	5.24979	6.70386	6.39377
AT1G02690	7.83167	18.5201	13.6078	12.8859
AT1G02700	4.62781	4.13178	4.70271	4.67237
AT1G02705	3.34626	3.84012	5.40311	4.96747
AT1G02720	6.05175	6.99971	8.8551	6.63968
AT1G02730	7.04851	7.14554	10.456	8.16435
AT1G02740	10.7508	14.4855	13.3077	10.2792
AT1G02750	11.7475	18.7145	13.908	13.1318
AT1G02770	5.48217	6.9511	6.90398	8.16435
AT1G02780	5.55337	7.09693	7.90455	7.52497
AT1G02790	4.98379	3.7429	2.90167	2.95097
AT1G02800	4.48541	5.68727	8.35481	7.91844
AT1G02810	3.77344	6.22197	5.60323	5.85276
AT1G02813	7.1909	9.13852	8.65499	5.80357
AT1G02816	6.69252	12.4925	8.65499	8.85291
AT1G02820	6.19414	7.24276	7.85452	4.574
AT1G02830	7.33329	7.58302	7.75447	7.47579
AT1G02840	6.47893	9.38156	11.1564	8.60699
AT1G02850	9.04202	15.3119	11.4566	10.1317
AT1G02860	8.25886	8.5066	10.6561	8.65618
AT1G02870	7.68928	5.78449	8.60496	8.3119
AT1G02880	7.1909	13.3189	14.4083	9.68902
AT1G02890	10.8219	9.13852	15.8591	10.5251
AT1G02900	7.2621	7.09693	7.8045	7.96762
AT1G02910	8.33005	10.694	9.60553	7.08233
AT1G02920	3.70225	4.90952	4.15239	5.50848
AT1G02930	5.90935	6.4164	6.6038	3.93463
AT1G02940	4.48541	2.72211	3.35193	2.90179
AT1G02950	3.48865	3.84012	4.20242	4.27891
AT1G02952	4.41422	1.74993	4.95285	6.09867
AT1G02960	8.11646	9.96487	11.8068	12.3449
AT1G02965	7.2621	6.9511	7.60438	8.65618
AT1G02970	7.54689	11.8606	11.4566	10.3284
AT1G02980	9.18442	6.70806	6.75389	5.50848
AT1G02990	8.40125	9.91626	11.2065	10.3776
AT1G03000	6.47893	9.86765	10.1058	7.57416
AT1G03010	7.04851	6.70806	5.60323	5.65603
AT1G03020	5.48217	4.18038	4.75274	5.95112
AT1G03030	9.4692	15.6035	16.4595	12.6892
AT1G03040	11.7475	10.2079	13.4077	9.88575
AT1G03050	9.6116	8.65242	8.90513	8.80373
AT1G03055	8.47245	14.5341	19.111	12.0006
AT1G03060	7.61808	6.22197	8.20473	8.3119
AT1G03070	7.90287	10.3051	9.50548	5.80357
AT1G03080	6.26534	9.38156	8.35481	6.49213
AT1G03090	10.3236	12.1523	11.7067	9.24637
AT1G03100	9.4692	9.23573	9.80565	8.3119
AT1G03103	4.8414	6.22197	5.50317	4.72155
AT1G03106	8.75723	12.687	12.6073	9.49229
AT1G03110	8.47245	14.5827	15.2588	13.3777
AT1G03120	10.3236	9.0413	12.0569	8.50863
AT1G03130	11.5339	9.23573	12.7573	7.77089
AT1G03140	9.82519	11.7634	20.0115	11.1645
AT1G03150	11.6763	12.9786	17.1099	13.8204
AT1G03160	6.26534	7.4858	9.85568	8.11517
AT1G03165	5.55337	8.40938	6.80392	6.78723
AT1G03170	5.05499	5.93031	5.9034	4.27891
AT1G03180	12.3171	12.7842	13.3077	13.3285
AT1G03190	14.5242	9.52739	12.5072	12.0006
AT1G03200	9.25561	15.166	9.50548	9.7382
AT1G03210	4.699	5.63866	6.80392	5.65603
AT1G03220	7.61808	10.1593	7.8045	4.96747
AT1G03230	4.62781	9.23573	8.60496	6.54132
AT1G03240	8.61484	12.0551	8.65499	7.67252
AT1G03250	6.90611	8.84686	10.0558	9.78738
